bag_number,shipped_at
B33NJ0CBCBW,nil
B33NJ0KH933,nil
B33NK04RRGE,nil
B33NM0CWY2N,nil
B33NP03KMJ3,nil
B33NQ03PM2X,nil
B33NQ0TENRA,nil
B33P507NWNB,nil
B33P704FPYE,nil
B33PA0M6X65,nil
B33PD0QW37A,nil
B33PF0G4E47,nil
B33PJ0JVXN9,nil
B33PN07A3GC,nil
B33PN0WNNKA,nil
B33PY0MJY9V,nil
B33Q505A52Y,nil
B33QB0FX9YV,nil
B33QC05HHDD,nil
B33QF0RHXAN,nil
B33QR0BVTM3,nil
B33QR0QR75R,nil
B33RF0MWYXW,nil
B33RG05VDTR,nil
B33RH0GP9QQ,nil
B33RK0BPRT2,nil
B33RR0NJK2W,nil
B33RV0PB3AG,nil
B33T30N7FMQ,nil
B33T60R5647,nil
B33TD0JEACM,nil
B33TN05BBBQ,nil
B33TN0M6GQ3,nil
B33TT0JVTCX,nil
B33V30TWPW5,nil
B33V60B3PMX,nil
B33VH02A7D4,nil
B33VH064BYM,nil
B33VJ04GCDV,nil
B33VK0XFP95,nil
B33VM0BF92E,nil
B33VT0H4TJK,nil
B33VX0GH5BF,nil
B33VY0EQQ54,nil
B33W70MECCB,nil
B33WB06YAXV,nil
B33WW0JKD3K,nil
B33WW0T3BDR,nil
B33X50CJRQ3,nil
B33X6045Q7H,nil
B33X60F99AX,nil
B33X70QAR2N,nil
B33X906KM5K,nil
B33XE06QV7R,nil
B33XE0MV9M6,nil
B33XH0CWQYD,nil
B33XK0BYHDF,nil
B33XR0K7BG5,nil
B33Y30F5MXA,nil
B33Y60H9B3E,nil
B33YB0AGQ7A,nil
B33YB0X5BY4,nil
B33YJ0HYXXT,nil
B33YQ0AJKHX,nil
B33YQ0PRCQF,nil
B33YR0237T4,nil
B33YR0HWHK7,nil
B33YT0KHGM9,nil
B34220E3A7W,nil
B34230B776E,nil
B34250CH3AT,nil
B342A077T9P,nil
B342A0MDKQP,nil
B342C06QF5J,nil
B342E0VDK4H,nil
B342E0X5PFT,nil
B342Q0FNDCX,nil
B342R0E2ADY,nil
B342T0EMBR6,nil
B342V0EDFC9,nil
B342W0QKE95,nil
B342Y04YRFR,nil
B342Y0FK4FN,nil
B34320J94DC,nil
B34330VAEFA,nil
B343B0BJ3JR,nil
B343C0KPQ5H,nil
B343D0D7KNR,nil
B343J026QFF,nil
B343K0CTNR4,nil
B343V0KEF7F,nil
B34490A47EJ,nil
B34520WEQ54,nil
B34560VG2GG,nil
B345A0RTQPN,nil
B345B0R3EP2,nil
B345D07AXEH,nil
B345D07FJRM,nil
B345G04VHXR,nil
B345G0CTVTD,nil
B345H04MJ3Q,nil
B345H0CFYA6,nil
B345Q0GAJHB,nil
B345R04W4QB,nil
B345R05TD6X,nil
B345Y0QVADV,nil
B345Y0WHQK2,nil
B34620A4NHQ,nil
B34620PYT3Y,nil
B34640V2PQ7,nil
B34650GV44G,nil
B34670VD4XF,nil
B346E057REV,nil
B346H0WFB4E,nil
B346K06PETW,nil
B346M0NDK5C,nil
B346N0AEJJ9,nil
B346R0676R6,nil
B346W05JQDH,nil
B346W0D9QRX,nil
B346X0VNAMT,nil
B34740WNWF4,nil
B347907KNYM,nil
B347B04B64P,nil
B347B0FEP47,nil
B347C09E26D,nil
B347F04CWWM,nil
B347F0B25AW,nil
B347J0FHWCJ,nil
B347M03T69F,nil
B347W0K6MYQ,nil
B347X0CYGWG,nil
B34950GAJQM,nil
B34950HFV45,nil
B34990E9PFH,nil
B349B0KRHNT,nil
B349D0APCAH,nil
B349G0QC465,nil
B349M0PQME5,nil
B349N0MQ7Y9,nil
B349Q0M9C9H,2024-08-17 18:14:00 UTC
B349T0VKNJ6,nil
B349X07WB5H,nil
B349Y09AA65,nil
B34A3025VXA,nil
B34A304RWXT,nil
B34A30MARDP,nil
B34A90B9BNY,nil
B34AA0EYRJQ,nil
B34AC06MYVY,nil
B34AC09BWRY,nil
B34AD0RRCK9,nil
B34AH0JRADY,nil
B34AJ07FNP3,nil
B34AM093XC3,nil
B34AM0GWW3P,nil
B34AN0EMKNT,nil
B34AP0FYBN6,nil
B34AP0GB535,nil
B34AR0DMMDF,nil
B34AV0G4AYV,nil
B34B20GXNKW,nil
B34B20MNNAC,nil
B34B70JVBKH,nil
B34B70QTQWV,nil
B34B90HGTX5,nil
B34BD0P93A3,nil
B34BE0DM265,nil
B34BF0HRTH4,nil
B34BF0PXYP3,nil
B34C40G4TC9,nil
B34C40GRX2E,nil
B34C40QMYKR,nil
B34C607QKRA,nil
B34C60ENN4D,nil
B34CB0C6JGJ,nil
B34CF0FWWEQ,nil
B34CJ06QBXM,nil
B34CQ02WDR5,nil
B34CQ0GKGH4,nil
B34CR063ETC,nil
B34CR0TBY6Y,nil
B34CY0ATFGT,nil
B34D50ADJAC,nil
B34D60TB4B5,nil
B34D90KATYJ,nil
B34DE0YM2JE,nil
B34DH0CAJ3M,nil
B34DH0FPADJ,nil
B34DH0JHWB9,nil
B34DV023QKH,nil
B34DV0W4XJY,nil
B34DX0P2T5R,nil
B34E20F3D7A,nil
B34E50KP2NG,nil
B34E602PJ5J,nil
B34EG033E3W,nil
B34EP0G9N32,nil
B34F20GEE4K,nil
B34F40HBPTR,nil
B34F609GR5Q,nil
B34FA0NND6P,nil
B34FC09DHET,nil
B34FF0FJP73,nil
B34FR0KRFYD,nil
B34FV05BMTV,nil
B34G60J555C,nil
B34G90Y3WH5,nil
B34GD0TBN6M,nil
B34GE02XEXJ,nil
B34GE0BMH3A,nil
B34GH0XHCKW,nil
B34GM0RAP2P,nil
B34GY05BDTV,nil
B34H40GKCMT,nil
B34H50A7EJQ,nil
B34H6046EKF,nil
B34H60R567G,nil
B34HH03FRCJ,nil
B34HW0VY6D6,nil
B34HY047MDX,nil
B34JB0WC5HV,nil
B34JD0564GW,nil
B34JE0EPRQQ,nil
B34JF0PPY76,nil
B34JF0X424N,nil
B34JH0X3WKP,nil
B34JP0XWE3W,nil
B34JQ0TETAK,nil
B34JT0DEY6K,nil
B34K40CE7EK,nil
B34K702N94P,nil
B34KB0EF64N,nil
B34KE0RTCXP,nil
B34KF02F7FX,nil
B34KH06NXHX,nil
B34KH0NXMDN,nil
B34KJ0G492W,nil
B34KR0D2KRN,nil
B34M70HWJDN,nil
B34M90JVRJM,nil
B34MA0GY3TT,nil
B34MD02XDPP,nil
B34MD0RP6B5,nil
B34ME03GFDQ,nil
B34MP0P32GQ,nil
B34MQ0AAGMA,nil
B34MQ0RCRE2,nil
B34MT06VPYW,nil
B34MY0DR4M5,nil
B34NE0GHDT2,nil
B34NF0FC46R,nil
B34NJ0TEGRJ,nil
B34NN0WEYK4,nil
B34NX0YK73M,nil
B34P40W9W9W,nil
B34P60CPQCN,nil
B34PA0HTWED,nil
B34PA0KX96T,nil
B34PG0APKAQ,nil
B34PG0WE4PV,nil
B34PJ0Y4263,nil
B34PK05F2H3,2024-08-23 02:10:00 UTC
B34PV0T65VP,nil
B34PW0JWTAW,nil
B34Q30TGQCV,nil
B34Q406V5QM,nil
B34Q60YV4AX,nil
B34Q702A6V6,nil
B34QD0T3H6H,nil
B34QH0RF7K3,nil
B34RB0D625E,nil
B34RC0K4K55,nil
B34RD0KW4NM,nil
B34RG05B3XE,nil
B34RM0DGPKG,nil
B34RT0D27TE,nil
B34T302T2MA,nil
B34T5056NW6,nil
B34T50HAXQQ,nil
B34TC0CE7GG,nil
B34TE0B5E3W,nil
B34TG0FMMXH,nil
B34TK0PRT76,nil
B34TP0V7VCY,nil
B34TP0YP6TJ,nil
B34TV035X6E,nil
B34TX0J5JXH,nil
B34V60HJ3AC,nil
B34V90XPYBH,nil
B34VC0TEJ6P,nil
B34VG0GABN2,nil
B34VG0GDH2T,nil
B34VK067FV7,nil
B34VQ04HRJV,nil
B34VW094E7W,nil
B34VY0BM63G,nil
B34W505YYEP,nil
B34W506F75P,nil
B34W70AQB3J,nil
B34WB053ANA,nil
B34WB05N6CV,nil
B34WC0HADJX,nil
B34WD0MXDTR,nil
B34WD0PEWBN,nil
B34WE0REBY3,nil
B34WF0G3TB7,nil
B34WG03TP7A,nil
B34WJ0AYVG7,nil
B34WK0GVKQW,nil
B34WR0VA5KH,nil
B34WT0FY7DQ,nil
B34WX0FP2B6,nil
B34WX0KYNRM,nil
B34X20WCW3N,nil
B34X60VA4GC,nil
B34XD0D9N2H,nil
B34XF0WPV29,nil
B34XK07M6DE,nil
B34XP0MQ3VC,nil
B34XP0P5F6N,nil
B34XP0T3BJF,nil
B34Y70W4FM2,nil
B34YA0RFC2K,nil
B34YJ0KKHDQ,nil
B34YN0ABKX2,nil
B34YQ0A4A2E,nil
B34YQ0PF56F,nil
B34YY0NFPAG,nil
B35250B7AHE,nil
B352605BHYR,nil
B35290HRVWN,nil
B352K0VDNHK,nil
B35340MT3K5,nil
B35370PTW7T,nil
B35370YARE5,nil
B353A0TF4V9,nil
B353E07FMK4,nil
B353E0Q2YRF,nil
B353F02GDCW,nil
B353G07TKRG,nil
B353K0MFHFM,nil
B353Q0TT29G,nil
B353R0YEERQ,nil
B353W0KGBXY,nil
B353W0Y75FC,nil
B353Y0WXMT6,nil
B35430TC5HK,nil
B35470QVT6K,nil
B35470WAWKB,nil
B354A0N5DYC,nil
B354D0377AH,nil
B354E072KYF,nil
B354N0PX3GV,nil
B354Q04QB2G,nil
B354R06XHW9,nil
B354W0Y3TWK,nil
B35530C4NYN,nil
B35540EMN3V,nil
B35570Q7XYC,nil
B35590K966W,nil
B355B0YK6PC,nil
B355C0K7BYA,nil
B355E0DYWWJ,nil
B355H02YJ7C,nil
B355P07XKYR,nil
B355Q0X9YGB,nil
B35660NKWJF,nil
B35690R5VX5,nil
B356D0HBV9C,nil
B356R0CYR6R,nil
B356W0AX3Q4,nil
B356X0R4DBM,nil
B35720HC5B5,nil
B35750MG3JE,nil
B35750RXKCF,nil
B357704AE5N,nil
B357B0K3G2X,nil
B357D04A7FM,nil
B357G05J2XA,nil
B357H02V6JJ,nil
B357N0V947V,nil
B357W0NVDNF,nil
B357X0DGV9E,nil
B357Y0XG6N5,nil
B35950H2WKR,nil
B359A0NV7TK,nil
B359B06BJAQ,nil
B359B0J4MT4,nil
B359F0RDGQQ,nil
B359K0TK979,nil
B359M0CD5J5,nil
B359N0PTYCE,nil
B359R0PPKD7,nil
B359R0W5FTB,nil
B359X0FA5TM,nil
B359X0PKXXB,nil
B35A202WTAM,nil
B35A60H5QMR,nil
B35A90G9XRW,nil
B35AB0GY7RT,nil
B35AC0J2RW5,nil
B35AC0K3W9R,nil
B35AD05VDJK,nil
B35AJ033227,nil
B35AJ0X6VX2,nil
B35AK0V76QM,nil
B35AM0RYH9W,nil
B35AN02VM7G,nil
B35AQ0PXRW7,nil
B35AR0VNV7B,nil
B35AR0X62DC,nil
B35AY0BQPHA,nil
B35B60H96Y7,nil
B35B706Q2VY,nil
B35B90FPEBJ,nil
B35B90WKW9W,nil
B35BA0GHKVE,nil
B35BA0TWPVP,nil
B35BE0QNB4F,nil
B35BE0W9HY2,nil
B35BK0G3942,nil
B35BM0BDNMW,nil
B35BN0CQEC6,nil
B35BQ0EYQ39,nil
B35BR0CA5V7,nil
B35BT0GTW9K,nil
B35BX07MMKV,nil
B35BY0K9FAG,nil
B35C50BQ4EW,nil
B35CE045WRY,nil
B35CG0PXR5W,nil
B35CQ0P99YV,nil
B35CV0GR5XT,nil
B35CW0CPTTY,nil
B35D4034FYH,nil
B35DB023VKF,nil
B35DB0Q4B7P,nil
B35DD0RV2DQ,nil
B35DG0AE75K,nil
B35DG0KDNAM,nil
B35DJ0K6TCP,nil
B35DJ0QC6B3,nil
B35DM0DHBCE,nil
B35DP0BQEYD,nil
B35DW0C7RTE,nil
B35DX06NJHT,nil
B35DY0REX3T,nil
B35E20J59AV,nil
B35E70QVVVA,nil
B35E90RNF7V,nil
B35EC0GHPG2,nil
B35ED0WTBRA,nil
B35EJ05GMFT,nil
B35EM05X94C,nil
B35EN06WJQH,nil
B35EN0GFQVW,nil
B35EN0GRG2G,nil
B35ER0Q45TV,nil
B35ET05MWJN,nil
B35EY09YC99,nil
B35EY0AWNEB,nil
B35F70X36CJ,nil
B35F90474MW,nil
B35FC0DV6YC,nil
B35FE07BE69,nil
B35FE0KQRMT,nil
B35FF0JXG7M,nil
B35FH0GEWBK,nil
B35FJ0VGYTT,nil
B35FK0XNGJA,nil
B35FM0B7H3K,nil
B35FP0JHTPW,nil
B35FP0KEF5G,nil
B35FT0PFPRY,nil
B35FX06E54A,nil
B35FY0Y67FN,nil
B35G40YCYBR,nil
B35GD0Y433P,nil
B35GE0VDDQJ,nil
B35GF03MYNH,nil
B35GG0Y6GMF,nil
B35GH0QACH4,nil
B35GJ0PRJTN,nil
B35GQ0HRT5N,nil
B35GW0R3RA9,nil
B35H205MJV5,nil
B35H20MRBY5,nil
B35H30EQDDE,nil
B35H50EWDR5,nil
B35HA0AKF62,nil
B35HG0Y926P,nil
